id_card,systolic,diastolic,heart_rate,blood_sugar,measure_date,measure_time
110101193109172915,100,62,74,4.2,2026-04-01,06:17
110101193109172915,99,52,90,4.5,2026-04-02,10:28
110101193109172915,95,58,94,6.0,2026-04-03,07:59
110101193109172915,90,58,85,4.4,2026-04-04,06:52
110101193109172915,93,65,95,5.3,2026-04-05,10:31
110101193109172915,105,62,80,5.5,2026-04-06,10:50
110101193109172915,90,53,78,4.1,2026-04-07,10:21
110101193109172915,90,62,77,4.0,2026-04-08,06:18
110101193109172915,97,68,90,5.9,2026-04-09,09:22
110101193109172915,90,57,77,5.8,2026-04-10,06:20
110101193109172915,91,61,81,4.7,2026-04-11,10:03
110101193109172915,100,59,68,4.8,2026-04-12,06:01
110101193109172915,94,63,65,4.9,2026-04-13,09:55
110101193109172915,97,67,79,5.1,2026-04-14,06:13
110101193109172915,104,53,95,4.9,2026-04-15,07:25
110101193109172915,90,70,69,6.3,2026-04-16,10:27
110101193109172915,90,63,83,4.8,2026-04-17,10:31
110101193109172915,90,54,81,4.4,2026-04-18,10:04
110101193109172915,90,65,66,4.2,2026-04-19,06:01
110101193109172915,91,55,86,5.7,2026-04-20,06:51
110101193109172915,90,56,94,5.1,2026-04-21,07:30
110101193109172915,90,62,87,6.1,2026-04-22,06:41
110101193109172915,94,55,75,4.5,2026-04-23,08:16
110101193109172915,92,68,80,5.4,2026-04-24,09:57
110101193109172915,90,66,68,4.1,2026-04-25,06:04
110101193109172915,92,66,80,6.2,2026-04-26,07:03
110101193109172915,104,62,76,5.9,2026-04-27,09:15
110101193109172915,90,56,68,4.9,2026-04-28,09:18
110101193109172915,90,63,67,4.1,2026-04-29,07:20
110101193109172915,102,58,78,6.2,2026-04-30,06:54
